model,resistor,fireStarted,0.00384 (0.003),0.00732 (0.013),0.489
user,batteryResistanceEditor,changed,0.00311 (0.002),0.00134 (0.000),0.191
user,mediumRadioButton,pressed,0.00793 (0.009),0.00401 (0.003),0.349
user,voltageEditor,endDrag,0.00312 (0.004),0.00435 (0.003),0.560
user,showReadoutCheckBox,pressed,0.00404 (0.004),0.00383 (0.002),0.904
user,schematicRadioButton,pressed,0.00304 (0.003),0.00142 (0.001),0.278
user,resetAllConfirmationDialogYesButton,pressed,0.00245 (0.001),0.00246 (0.002),0.980
user,smallRadioButton,pressed,0.00847 (0.008),0.00379 (0.003),0.209
user,bulbResistorEditor,activated,0.00318 (0.000),0.01075 (0.009),-
user,redProbe,startDrag,0.01692 (0.008),0.01768 (0.010),0.733
user,redProbe,drag,0.02377 (0.012),0.02551 (0.015),0.606
user,resetAllConfirmationDialogNoButton,pressed,0.00134 (0.001),0.00087 (0.000),0.449
user,voltageEditor,windowClosing,- (-),0.00246 (0.001),-
user,lightBulb,removedComponent,0.00335 (0.003),0.00329 (0.003),0.959
parser,break,merge,0.00125 (0.000),0.00088 (0.000),0.394
user,grabBagResistor,movedComponent,0.00710 (0.005),0.00443 (0.006),0.502
user,lightBulb,movedComponent,0.00337 (0.002),0.01095 (0.011),0.125
user,grabBagResistor,removedComponent,0.00411 (0.003),0.00105 (0.000),0.074
user,resistor,addedComponent,0.01132 (0.006),0.01178 (0.006),0.779
model,junction,junctionFormed,0.07074 (0.031),0.07166 (0.034),0.912
user,hideElectronsCheckBox,pressed,0.01288 (0.000),0.00337 (0.000),-
model,voltmeterBlackLeadModel,connectionFormed,0.02416 (0.010),0.02184 (0.011),0.382
model,nonContactAmmeterModel,connectionFormed,0.06394 (0.026),0.05676 (0.027),0.317
user,fileMenu,pressed,0.00122 (0.000),0.00246 (0.002),-
user,resistivitySlider,startDrag,0.00410 (0.002),0.00195 (0.001),0.274
user,showAdvancedControlsButton,pressed,0.00188 (0.001),0.00256 (0.002),0.590
user,bulbResistorEditor,startDrag,0.00159 (0.000),0.00515 (0.003),-
user,lightBulb,addedComponent,0.00330 (0.003),0.00372 (0.003),0.772
user,bulbResistorEditor,windowClosing,- (-),0.01028 (0.000),-
model,seriesAmmeter,measuredCurrentChanged,0.06249 (0.070),0.05653 (0.043),0.865
user,nonContactAmmeter,startDrag,0.02804 (0.015),0.02660 (0.017),0.737
user,hideAdvancedControlsButton,pressed,0.00143 (0.001),0.00289 (0.003),0.393
model,seriesAmmeter,fireEnded,0.00066 (0.000),0.00287 (0.002),-
user,resistorEditor,deactivated,0.01507 (0.011),0.01649 (0.008),0.565
user,hideHelpButton,pressed,0.00115 (0.000),- (-),-
user,junction,movedJunction,0.05414 (0.033),0.05916 (0.029),0.528
user,circuitSwitch,switchClosed,0.00631 (0.005),0.00218 (0.001),0.237
user,battery,pressed,0.00273 (0.002),0.00192 (0.001),0.325
user,batteryResistanceEditor,endDrag,0.00359 (0.001),0.00111 (0.000),-
model,battery,fireEnded,0.00368 (0.003),0.00347 (0.003),0.841
user,grabBagResistor,addedComponent,0.00351 (0.003),0.00239 (0.003),0.581
user,nonContactAmmeterCheckBox,pressed,0.00396 (0.007),0.00330 (0.004),0.672
model,nonContactAmmeterModel,connectionBroken,0.06987 (0.031),0.06259 (0.031),0.388
model,wire,fireEnded,0.01478 (0.016),0.01541 (0.010),0.888
model,wire,fireStarted,0.01527 (0.016),0.01776 (0.010),0.580
user,voltageEditor,deactivated,0.00281 (0.002),0.00353 (0.003),0.666
user,bulbResistorEditor,changed,0.00318 (0.000),0.02389 (0.020),-
user,batteryResistanceEditor,deactivated,0.00199 (0.000),0.00156 (0.001),0.332
user,helpMenu,pressed,0.00366 (0.000),0.00149 (0.000),-
user,playPauseButton,pressed,0.00332 (0.002),0.00774 (0.006),0.159
user,seriesAmmeter,movedComponent,0.00225 (0.001),0.00335 (0.002),0.312
model,nonContactAmmeterModel,measuredCurrentChanged,0.07772 (0.022),0.07176 (0.026),0.362
user,battery,addedComponent,0.00453 (0.004),0.00538 (0.009),0.614
user,voltageEditor,activated,0.00281 (0.002),0.00353 (0.003),0.666
user,bulbResistorEditor,endDrag,0.00159 (0.000),0.00515 (0.003),-
user,moreVoltsCheckBox,pressed,0.00229 (0.000),0.00166 (0.001),-
model,voltmeterRedLeadModel,connectionFormed,0.02243 (0.009),0.02200 (0.011),0.867
user,lightBulb,pressed,0.00086 (0.000),0.00271 (0.003),-
user,helpButton,pressed,0.00115 (0.000),- (-),-
user,resistor,movedComponent,0.01221 (0.010),0.00910 (0.007),0.171
user,resistorEditor,changed,0.02182 (0.017),0.02880 (0.023),0.187
user,stepButton,pressed,0.01374 (0.012),0.00678 (0.000),-
user,batteryResistanceEditor,windowClosing,0.00191 (0.000),0.00124 (0.000),-
user,nonContactAmmeter,drag,0.08334 (0.036),0.06732 (0.033),0.091
user,wire,movedComponent,0.01188 (0.010),0.01580 (0.012),0.171
user,blackProbe,endDrag,0.01795 (0.007),0.01753 (0.009),0.845
model,voltmeterRedLeadModel,connectionBroken,0.02174 (0.008),0.02112 (0.011),0.803
user,circuitSwitch,movedComponent,0.00166 (0.001),0.00117 (0.000),-
user,resistorEditor,activated,0.01507 (0.011),0.01651 (0.008),0.561
user,battery,removedComponent,0.00378 (0.003),0.00375 (0.004),0.978
model,voltmeterModel,measuredVoltageChanged,0.03912 (0.020),0.04278 (0.023),0.510
user,bulbResistorEditor,deactivated,0.00318 (0.000),0.01075 (0.009),-
user,wire,addedComponent,0.02972 (0.017),0.02903 (0.013),0.861
user,grabBagButton,pressed,0.00279 (0.003),0.00244 (0.003),0.826
user,circuitSwitch,removedComponent,0.00196 (0.002),0.00150 (0.001),0.706
user,batteryResistanceEditor,startDrag,0.00359 (0.001),0.00111 (0.000),-
user,wire,removedComponent,0.01924 (0.014),0.01998 (0.015),0.851
user,voltageEditor,startDrag,0.00312 (0.004),0.00435 (0.003),0.560
model,voltmeterBlackLeadModel,connectionBroken,0.02359 (0.010),0.02169 (0.011),0.468
user,resetAllButton,pressed,0.00270 (0.001),0.00246 (0.002),0.676
model,battery,fireStarted,0.00368 (0.003),0.00391 (0.003),0.841
model,battery,currentChanged,0.05620 (0.030),0.06108 (0.025),0.493
user,batteryResistanceEditor,activated,0.00199 (0.000),0.00156 (0.001),0.332
user,seriesAmmeterCheckBox,pressed,0.00397 (0.004),0.00324 (0.003),0.633
model,lightBulb,fireStarted,- (-),0.00314 (0.003),-
user,blackProbe,drag,0.02451 (0.011),0.02365 (0.013),0.776
user,resistivitySlider,drag,0.00440 (0.001),0.00506 (0.000),-
model,lightBulb,fireEnded,- (-),0.00350 (0.003),-
user,resistor,pressed,0.00593 (0.005),0.00614 (0.005),0.896
user,redProbe,endDrag,0.01692 (0.008),0.01764 (0.010),0.745
user,resistorEditor,windowClosing,0.00377 (0.005),0.00408 (0.005),0.846
user,circuitSwitch,addedComponent,0.00199 (0.002),0.00143 (0.001),0.499
user,nonContactAmmeter,endDrag,0.02797 (0.015),0.02654 (0.017),0.738
user,voltmeterCheckBox,pressed,0.00283 (0.002),0.00477 (0.006),0.109
user,grabBagItemButton,pressed,0.00351 (0.003),0.00239 (0.003),0.581
user,voltageEditor,changed,0.00310 (0.002),0.01322 (0.011),0.083
model,junction,junctionSplit,0.01163 (0.008),0.01224 (0.010),0.820
user,seriesAmmeter,removedComponent,0.00191 (0.001),0.00279 (0.002),0.413
user,battery,movedComponent,0.00285 (0.002),0.00333 (0.003),0.497
user,resistorEditor,endDrag,0.01216 (0.016),0.00923 (0.007),0.380
user,resistivitySlider,endDrag,0.00410 (0.002),0.00195 (0.001),0.274
user,circuitSwitch,switchOpened,0.00688 (0.003),0.00222 (0.001),0.268
user,resistor,removedComponent,0.00797 (0.005),0.00831 (0.006),0.810
user,largeRadioButton,pressed,0.00294 (0.002),0.00175 (0.000),0.351
user,saveButton,pressed,0.00122 (0.000),- (-),-
user,resistorEditor,startDrag,0.01216 (0.016),0.00923 (0.007),0.380
user,seriesAmmeter,addedComponent,0.00230 (0.001),0.00364 (0.003),0.270
model,seriesAmmeter,fireStarted,0.00066 (0.000),0.00287 (0.002),-
user,blackProbe,startDrag,0.01799 (0.007),0.01753 (0.009),0.831
model,resistor,fireEnded,0.00384 (0.003),0.00704 (0.013),0.509
user,lifelikeRadioButton,pressed,0.00304 (0.002),0.00137 (0.001),0.247
