uid,pre,post,condition,gains,group
6ff513f80c60d79b068e13c00b36dfdf,18.45,20.95,Group A,0.135501355,LL
30af53a26313d214ba6526a0cddf7259,17.85,4.6,Group A,-0.742296919,LL
02600b39549dd10f504a399be0c919bb,18.4,19.1,Group A,0.038043478,LL
248d13f3221e05ee568a797d1ed6e3f7,23.65,22.9,Group B,-0.031712474,LL
5b2bf3b5e9e9904e38862a2ce2aee150,15.4,20.4,Group B,0.324675325,HL
7e894ecfadc1a2b637923b34c967b03a,11.65,18.1,Group B,0.553648069,HL
cdc48c2fd124741fdaf20b1319d7f50a,17.1,20.55,Group A,0.201754386,HL
0539d64cbb1cdff4285059a848dea8f9,19.9,22.9,Group B,0.150753769,LL
b08c46c76b5bb00ef229bd9ba989630c,18.65,18.65,Group A,0,LL
33e86194bc3e5f363872826f0f4e3b5d,15.4,18.65,Group A,0.211038961,HL
38b7d9485515579263d8d521ef13912a,9.95,16.2,Group B,0.628140704,HL
7f0ef3dfa2c6610e15a85e9db0d59ebf,13.65,15.6,Group A,0.142857143,LL
099f16a7120d499788db4f0f7828694b,12.95,18.65,Group B,0.44015444,HL
979c8701d1aff017018fc8809cfe42f1,17.65,18.9,Group A,0.07082153,LL
447f00ed826485ce3796a51372483f7a,17.65,21.9,Group A,0.240793201,HL
6629758fc01f8aa263639455ae6e2095,15.4,16.7,Group A,0.084415584,LL
4aeeed3a58b56eda0b9825df013cd3e2,11.9,15.15,Group B,0.273109244,HL
478f23cd4da54264ccf92c24b18501a2,11.45,13.95,Group A,0.218340611,HL
7c6b8b57e9e9e3c868aa82b868f7bc72,12.9,23.65,Default Group,0.833333333,HL
2d8b28de35913cd434f936cd08efed56,16.65,19.9,Group A,0.195195195,HL
1dbf81465fa8c3efdde173359cd59cb4,22.95,22.65,Group B,-0.013071895,LL
1928d14b0658358860151ccc5996efb7,22.4,23.3,Group A,0.040178571,LL
2959a33ac5d89910c29cef6fd93f9275,14.9,22.45,Group A,0.506711409,HL
bf9a792f0bc68d4322d2a80b4663e60b,18.4,21.65,Group B,0.176630435,HL
474011a2badf7353c581ecab1d3e0114,4.45,15.25,Group B,2.426966292,HL
6d77fc357fd1ceb84bc9bba9e055b60a,10,16.45,Group B,0.645,HL
888bf8c0fef0220124b64f70e5e51274,19.1,18.65,Group A,-0.023560209,LL
5a9c5f48ef928fb1cb3d9c956e29647f,17.65,21.65,Group B,0.226628895,HL
2913c9bac4118ab39ef826731fe46aba,19.95,23.05,Group A,0.155388471,LL
b64072e02591d834f811bba62d95cbda,15.4,20.65,Group A,0.340909091,HL
28c6f5cc29028c94dc31622ee9d831d8,12.85,15.35,Group A,0.194552529,HL
5473418bace32b46f55bf614a79395ae,17.6,21.15,Group A,0.201704545,HL
ae43b3eed33a19044c1ad9faa0e9e3fb,17.25,19.5,Group A,0.130434783,LL
76d93d01d20078fa315d18da72112bff,14.95,17.95,Group A,0.200668896,HL
0ae8f7f49204dedd38249805567673e0,16.5,21.95,Group A,0.33030303,HL
d77f98a1bcc88bc88aaa4bfab8295ad0,19.65,22.9,Group B,0.165394402,LL
687f7b363833e37f60c9d7259f9ce2b5,18.15,20.15,Group B,0.110192837,LL
516b71b7784a701b58bca3fb88d8c995,15.1,21.4,Group B,0.417218543,HL
631792a64ce00e99b9ce4fc9ca477aa3,16.65,18.1,Group A,0.087087087,LL
460b7b1b161abd14de68c1f3a4338a96,13.45,19.95,Group B,0.483271375,HL
c041c2f2204e9836d0ad3e2f5aca81c7,18.45,20.65,Group A,0.119241192,LL
33169cd4b0dfede1a148d2eca3e46599,17.4,20.65,Group B,0.186781609,HL
d84cad8aaf4c8d91e60da0eb93e0e407,14.1,16.9,Group B,0.19858156,HL
a4cc14d1326a9af02ba0c583cff3d308,18.45,21.6,Group B,0.170731707,LL
8b857890752f419d48b7afffe36758a6,21.1,23.45,Group B,0.111374408,LL
38bf7a51411d7710b4f8c324807447ed,15.35,21.15,Group B,0.377850163,HL
2def8a15fbba56a5084ff1db341b58f4,20.4,20.65,Group A,0.012254902,LL
b7066b892c2de952770667e359133889,17.15,20.65,Group B,0.204081633,HL
e258fecca1e42e0e5e080640cc26c051,20.35,21.15,Default Group,0.039312039,LL
e313d37f14cc5cae6df570e56a051715,13,15.95,Group A,0.226923077,HL
7359a4870bfb31c34dcb83dff6fd474d,17.4,20.15,Group B,0.158045977,LL
753d5b7b1cc433fd385b192c02b2145a,18.2,18.85,Group A,0.035714286,LL
56abf74ca0f27a7e585e9fb8c6a39075,15.15,16.5,Group B,0.089108911,LL
d09611f68cfc63e332c7af25f425af17,13.9,20.1,Group A,0.446043165,HL
3b00b80a1e6dcc1cac18b25e4d1e82c6,16.4,17.4,Group A,0.06097561,LL
ab3f354d8727b5e1efa06a163925d96f,15.45,19.2,Group B,0.242718447,HL
1c64aaa36ce1c185f002b31999713a26,16.6,21.35,Group B,0.286144578,HL
63b3525c8f3fbaf265f13eeaca547c6a,16.9,16.5,Default Group,-0.023668639,LL
832a84be8a8bba121e61ce0d37834aba,21.85,21.35,Group B,-0.022883295,LL
94c75871a53b1ef84d132eeb342ee8a2,19.95,20.7,Group B,0.037593985,LL
aa5169755ef3f4641562da80e5459bc3,25.1,23.85,Group A,-0.049800797,LL
591729ccb7eb96fe9e3a15e4c662105e,22.8,22.65,Group B,-0.006578947,LL
b2fad26c3905e1338aeb1a70e20672f1,15.9,13.9,Group B,-0.125786164,LL
9ce59a939d181f76c1ae127067c316fe,12.9,13.9,Group B,0.07751938,LL
395373be02da2042720df62e9644beb9,12.15,21.15,Group A,0.740740741,HL
840198370879610e249796065ea28a59,19.4,19.15,Group B,-0.012886598,LL
e3f5d6ca2e854baf4f38b9cd7b2e2ac0,17.8,20.05,Group A,0.126404494,LL
9e682e7abf4167ce717089cb51bf3c6a,17.6,19.6,Default Group,0.113636364,LL
89e3b0c16f5b76cf9b511f975f6235d3,18.4,22.65,Group B,0.230978261,HL
e1a3d024afd1c17d156a4c4db3ef27c6,19.4,21.4,Group A,0.103092784,LL
c17afa8f83873739c92b3caa463dcfd8,11.65,21.7,Default Group,0.862660944,HL
d8c1e241af27723361682e86a63bb7d7,16.65,21.4,Group B,0.285285285,HL
e289af141208ea6d8acafd4b785e6806,10.9,21.45,Group B,0.967889908,HL
c1478c98c6f95df977c9b746f14bf55b,22.6,24.35,Default Group,0.077433628,LL
9d2b86fbb7f95f74da8ddbb0f5732b8b,16.45,16.45,Group A,0,LL
313fd13da8cbc26d2f313b3bd02e141f,12.6,20.15,Group B,0.599206349,HL
f86e9500c65ccb46a4d5978158744473,14.65,21.9,Group A,0.494880546,HL
e219b36d09e3c76aa355e96861f792bd,15.75,20.1,Group A,0.276190476,HL
bf05c75f227cc5b6e71014ee9937c165,14.15,19.6,Group A,0.385159011,HL
be1cf476c41061f3df85210bffb033bf,18.15,21.2,Group A,0.168044077,LL
4bfece2f5c7159b20810b3b500b5a1b6,17.15,22.15,Group B,0.29154519,HL
bb6bd5980cb96b89d93045271315aec5,14.9,14.15,Group B,-0.05033557,LL
a9e6dd49ffefadfd2887432317c6885c,13.15,22.9,Group A,0.741444867,HL
f582beec0db9c4a4a6d2b3d1f44dfd76,13.4,18.45,Group B,0.376865672,HL
1951fce339652a7dc980e669a4e20fd6,12.95,18.95,Group B,0.463320463,HL
0e5a2aba4ca28826ad3f75a31df1e346,12.65,20.45,Group B,0.616600791,HL
3eb1f752a9f8e7bda6648fcf7d1df45d,12.75,18.9,Group A,0.482352941,HL
0251df2b4ff98ad6e66c6381e7d675c1,21.65,23.9,Group B,0.103926097,LL
81d070e852b774f8785e1f404729d298,10.7,19.95,Group B,0.864485981,HL
e9da5f2ea6c419277accc5a95a23cd73,14.2,20.05,Group B,0.411971831,HL
579d7a7b0116fe3ac449f55ba2a3d3a3,18.2,18.9,Group A,0.038461538,LL
53d7db901c19ffd1be00eff7575c6d06,21.4,21.4,Group B,0,LL
bb436815583fdc9f717715bd8053ce1c,15.15,13.75,Group B,-0.092409241,LL
1a7258f2b85e12151dfa00c56c456eba,19.4,22.4,Group B,0.154639175,LL
4fd4d60da3efe98bfe6ae453345ab46b,14.65,17.35,Group B,0.184300341,HL
784269b5b201ba7600b1db4c3732a637,16.45,22.45,Group A,0.364741641,HL
87fa77ae70c950d67ef25f66cf22b287,16.65,20.9,Group A,0.255255255,HL
6c5cb67e56ef900e64ab153216029df2,11.9,18.15,Group A,0.525210084,HL
9b1c0a2ef7ae9e8e5ccd9ad2ec1d440e,17.15,20.9,Group A,0.218658892,HL
1a8e92a58a717d188576e8b00948caa7,13.4,15.4,Group B,0.149253731,LL
a0664292a6aaa8982d38a20a288d4852,16.2,17.95,Group B,0.108024691,LL
fd50b98999f075a6f3d22ff9a1c5c2d1,21.9,19.9,Group B,-0.091324201,LL
a071214b681c0db3f0a328a6c1500641,15.7,16.15,Group B,0.02866242,LL
83b98fa2d35d3a5053895efb558cf62a,11.9,18.95,Group A,0.592436975,HL
12b854bba906832bfa36435d5fbb60dc,10.95,20.45,Default Group,0.867579909,HL
c092a22cd8497b1edf39f8e98d36acb6,4.65,20.85,Group B,3.483870968,HL
0369306119050b6b9d9ac85e55da9030,22.8,22.85,Group A,0.002192982,LL
104bf0ca90a6299703ef8f44f74ce41c,19.35,20.5,Group A,0.059431525,LL
b27b908209429ab09d069eb1e680f544,11.45,23.15,Group A,1.021834061,HL
250a2d09e4f4b8581cdcbbc20b575d23,19.65,21.4,Group B,0.089058524,LL
6f2c5b6b97ae2797a1d5660765beb552,15.9,18.4,Group B,0.157232704,LL
94df47b469c3954e7faf92bf74de4cbf,20.95,20.9,Group B,-0.002386635,LL
41849dc58bd4942bd2b4c6281ed4fe71,19.15,20.15,Group A,0.052219321,LL
b17a1417af7d10703f98bc5ef633378d,20.65,21.6,Group A,0.046004843,LL
ac8c8f9923ceac97429bd4c1028de26a,20.15,21.6,Group A,0.071960298,LL
